"fips" "mkt" "statefp"
"19045" 33 "19"
"19047" 26 "19"
"19049" 33 "19"
"19051" 33 "19"
"19053" 33 "19"
"19055" 33 "19"
"19057" 33 "19"
"19059" 3 "19"
"19061" 33 "19"
"19063" 3 "19"
"19065" 33 "19"
"19067" 34 "19"
"19069" 34 "19"
"19071" 26 "19"
"19073" 33 "19"
"19075" 33 "19"
"19077" 33 "19"
"19079" 33 "19"
"19081" 34 "19"
"19083" 34 "19"
"19085" 26 "19"
"19087" 33 "19"
"19089" 34 "19"
"19091" 232 "19"
"19093" 298 "19"
"19095" 33 "19"
"19097" 33 "19"
"19099" 33 "19"
"19101" 33 "19"
"19103" 33 "19"
"19105" 33 "19"
"19107" 33 "19"
"19109" 34 "19"
"19111" 33 "19"
"19113" 33 "19"
"19115" 33 "19"
"19117" 33 "19"
"19119" 3 "19"
"19121" 33 "19"
"19123" 33 "19"
"19125" 33 "19"
"19127" 33 "19"
"19129" 26 "19"
"19131" 34 "19"
"19133" 298 "19"
"19135" 33 "19"
"19137" 26 "19"
"19139" 33 "19"
"19141" 3 "19"
"19143" 3 "19"
"19145" 26 "19"
"19147" 34 "19"
"19149" 298 "19"
"19151" 232 "19"
"19153" 33 "19"
"19155" 26 "19"
"19157" 33 "19"
"19159" 33 "19"
"19161" 444 "19"
"19163" 33 "19"
"19165" 26 "19"
"19167" 3 "19"
"19169" 33 "19"
"19171" 33 "19"
"19173" 33 "19"
"19175" 33 "19"
"19177" 33 "19"
"19179" 33 "19"
"19181" 33 "19"
"19183" 33 "19"
"19185" 33 "19"
"19187" 232 "19"
"19189" 34 "19"
"19191" 34 "19"
"19193" 298 "19"
"19195" 34 "19"
"19197" 34 "19"
"20001" 445 "20"
"20003" 118 "20"
"20005" 101 "20"
"20007" 224 "20"
"20009" 271 "20"
"20011" 9 "20"
"20013" 277 "20"
"20015" 224 "20"
"20017" 277 "20"
"20019" 130 "20"
"20021" 242 "20"
"20023" 36 "20"
"20025" 446 "20"
"20027" 239 "20"
"20029" 239 "20"
"20031" 277 "20"
"20033" 224 "20"
"20035" 224 "20"
"20037" 242 "20"
"20039" 36 "20"
"20041" 239 "20"
"20043" 101 "20"
"20045" 447 "20"
"20047" 171 "20"
"20049" 224 "20"
"20051" 271 "20"
"20053" 239 "20"
"20055" 226 "20"
"20057" 448 "20"
"20059" 9 "20"
"20061" 277 "20"
"20063" 271 "20"
"20065" 271 "20"
"20067" 226 "20"
"20069" 226 "20"
"20071" 271 "20"
"20073" 224 "20"
"20075" 226 "20"
"20077" 224 "20"
"20079" 224 "20"
"20081" 226 "20"
"20083" 271 "20"
"20085" 277 "20"
"20087" 277 "20"
"20089" 22 "20"
"20091" 9 "20"
"20093" 226 "20"
"20095" 224 "20"
"20097" 224 "20"
"20099" 242 "20"
"20101" 271 "20"
"20103" 9 "20"
"20105" 239 "20"
"20107" 9 "20"
"20109" 271 "20"
"20111" 277 "20"
"20113" 239 "20"
"20115" 224 "20"
"20117" 26 "20"
"20119" 449 "20"
"20121" 9 "20"
"20123" 239 "20"
"20125" 130 "20"
"20127" 277 "20"
"20129" 285 "20"
"20131" 277 "20"
"20133" 450 "20"
"20135" 271 "20"
"20137" 271 "20"
"20139" 277 "20"
"20141" 239 "20"
"20143" 239 "20"
"20145" 271 "20"
"20147" 271 "20"
"20149" 277 "20"
"20151" 171 "20"
"20153" 451 "20"
"20155" 201 "20"
"20157" 239 "20"
"20159" 201 "20"
"20161" 277 "20"
"20163" 271 "20"
"20165" 271 "20"
"20167" 271 "20"
"20169" 239 "20"
"20171" 271 "20"
"20173" 224 "20"
"20175" 285 "20"
"20177" 277 "20"
"20179" 452 "20"
"20181" 271 "20"
"20183" 36 "20"
"20185" 171 "20"
"20187" 226 "20"
"20189" 226 "20"
"20191" 224 "20"
"20193" 271 "20"
"20195" 271 "20"
"20197" 277 "20"
"20199" 271 "20"
"20201" 453 "20"
"20203" 226 "20"
"20205" 454 "20"
"20207" 455 "20"
"20209" 9 "20"
"21001" 109 "21"
"21003" 245 "21"
"21005" 137 "21"
"21007" 296 "21"
"21009" 245 "21"
"21011" 137 "21"
"21013" 142 "21"
"21015" 241 "21"
"21017" 137 "21"
"21019" 4 "21"
"21021" 137 "21"
"21023" 241 "21"
"21025" 282 "21"
"21027" 55 "21"
"21029" 55 "21"
"21031" 245 "21"
"21033" 296 "21"
"21035" 296 "21"
"21037" 241 "21"
"21039" 296 "21"
"21041" 55 "21"
"21043" 4 "21"
"21045" 137 "21"
"21047" 180 "21"
"21049" 137 "21"
"21051" 137 "21"
"21053" 294 "21"
"21055" 296 "21"
"21057" 245 "21"
"21059" 180 "21"
"21061" 245 "21"
"21063" 137 "21"
"21065" 137 "21"
"21067" 137 "21"
"21069" 137 "21"
"21071" 4 "21"
"21073" 137 "21"
"21075" 296 "21"
"21077" 241 "21"
"21079" 137 "21"
"21081" 241 "21"
"21083" 296 "21"
"21085" 55 "21"
"21087" 55 "21"
"21089" 4 "21"
"21091" 180 "21"
"21093" 55 "21"
"21095" 282 "21"
"21097" 137 "21"
"21099" 245 "21"
"21101" 287 "21"
"21103" 55 "21"
"21105" 296 "21"
"21107" 287 "21"
"21109" 137 "21"
"21111" 55 "21"
"21113" 137 "21"
"21115" 4 "21"
"21117" 241 "21"
"21119" 282 "21"
"21121" 137 "21"
"21123" 55 "21"
"21125" 137 "21"
"21127" 4 "21"
"21129" 137 "21"
"21131" 282 "21"
"21133" 4 "21"
"21135" 53 "21"
"21137" 137 "21"
"21139" 296 "21"
"21141" 245 "21"
"21143" 296 "21"
"21145" 296 "21"
"21147" 148 "21"
"21149" 180 "21"
"21151" 137 "21"
"21153" 4 "21"
"21155" 55 "21"
"21157" 296 "21"
"21159" 4 "21"
"21161" 137 "21"
"21163" 55 "21"
"21165" 137 "21"
"21167" 137 "21"
"21169" 245 "21"
"21171" 245 "21"
"21173" 137 "21"
"21175" 137 "21"
"21177" 180 "21"
"21179" 55 "21"
"21181" 137 "21"
"21183" 180 "21"
"21185" 55 "21"
"21187" 241 "21"
"21189" 137 "21"
"21191" 241 "21"
"21193" 282 "21"
"21195" 4 "21"
"21197" 137 "21"
"21199" 137 "21"
"21201" 137 "21"
"21203" 137 "21"
"21205" 137 "21"
"21207" 148 "21"
"21209" 137 "21"
"21211" 55 "21"
"21213" 245 "21"
"21215" 55 "21"
"21217" 109 "21"
"21219" 245 "21"
"21221" 296 "21"
"21223" 55 "21"
"21225" 287 "21"
"21227" 245 "21"
"21229" 55 "21"
"21231" 137 "21"
"21233" 287 "21"
"21235" 148 "21"
"21237" 137 "21"
"21239" 137 "21"
"22001" 113 "22"
"22003" 235 "22"
"22005" 233 "22"
"22007" 233 "22"
"22009" 235 "22"
"22011" 292 "22"
"22013" 257 "22"
"22015" 257 "22"
"22017" 257 "22"
"22019" 292 "22"
"22021" 256 "22"
"22023" 292 "22"
"22025" 235 "22"
"22027" 257 "22"
"22029" 235 "22"
"22031" 257 "22"
"22033" 233 "22"
"22035" 256 "22"
"22037" 233 "22"
"22039" 456 "22"
"22041" 256 "22"
"22043" 235 "22"
"22045" 113 "22"
"22047" 233 "22"
"22049" 256 "22"
"22051" 37 "22"
"22053" 292 "22"
"22055" 113 "22"
"22057" 37 "22"
"22059" 235 "22"
"22061" 457 "22"
"22063" 233 "22"
"22065" 256 "22"
"22067" 256 "22"
"22069" 257 "22"
"22071" 37 "22"
"22073" 256 "22"
"22075" 37 "22"
"22077" 233 "22"
"22079" 235 "22"
"22081" 257 "22"
"22083" 256 "22"
"22085" 257 "22"
"22087" 37 "22"
"22089" 37 "22"
"22091" 90 "22"
"22093" 233 "22"
"22095" 37 "22"
"22097" 113 "22"
"22099" 113 "22"
"22101" 458 "22"
"22103" 51 "22"
"22105" 90 "22"
"22107" 256 "22"
"22109" 37 "22"
"22111" 256 "22"
"22113" 113 "22"
"22115" 235 "22"
"22117" 51 "22"
"22119" 257 "22"
"22121" 233 "22"
"22123" 256 "22"
"22125" 233 "22"
"22127" 235 "22"
"23001" 459 "23"
"23003" 265 "23"
"23005" 178 "23"
"23007" 178 "23"
"23009" 265 "23"
"23011" 178 "23"
"23013" 178 "23"
"23015" 178 "23"
"23017" 178 "23"
"23019" 265 "23"
"23021" 265 "23"
"23023" 178 "23"
"23025" 265 "23"
"23027" 265 "23"
"23029" 265 "23"
"23031" 178 "23"
"24001" 23 "24"
"24003" 89 "24"
"24005" 460 "24"
"24009" 89 "24"
"24011" 69 "24"
"24013" 461 "24"
"24015" 39 "24"
"24017" 462 "24"
"24019" 69 "24"
"24021" 463 "24"
"24023" 23 "24"
"24025" 464 "24"
"24027" 465 "24"
"24029" 39 "24"
"24031" 466 "24"
"24033" 86 "24"
"24035" 69 "24"
"24037" 86 "24"
"24039" 166 "24"
"24041" 69 "24"
"24043" 467 "24"
"24045" 166 "24"
"24047" 166 "24"
"24510" 468 "24"
"25001" 469 "25"
"25003" 470 "25"
"25005" 471 "25"
"25007" 472 "25"
"25009" 473 "25"
"25011" 88 "25"
"25013" 88 "25"
"25015" 88 "25"
"25017" 474 "25"
"25021" 475 "25"
"25023" 476 "25"
"25025" 477 "25"
"25027" 478 "25"
"26001" 28 "26"
"26003" 138 "26"
"26005" 103 "26"
"26007" 47 "26"
"26009" 234 "26"
"26011" 28 "26"
"26013" 138 "26"
"26015" 103 "26"
"26017" 28 "26"
"26019" 234 "26"
"26021" 479 "26"
"26023" 134 "26"
"26025" 134 "26"
"26027" 134 "26"
"26029" 234 "26"
"26031" 47 "26"
"26033" 47 "26"
"26035" 186 "26"
"26037" 65 "26"
"26039" 234 "26"
"26041" 138 "26"
"26043" 61 "26"
"26045" 65 "26"
"26047" 47 "26"
"26049" 480 "26"
"26051" 186 "26"
"26053" 104 "26"
"26055" 234 "26"
"26057" 186 "26"
"26059" 134 "26"
"26061" 138 "26"
"26063" 28 "26"
"26065" 65 "26"
"26067" 103 "26"
"26069" 28 "26"
"26071" 138 "26"
"26073" 186 "26"
"26075" 481 "26"
"26077" 134 "26"
"26079" 234 "26"
"26081" 103 "26"
"26083" 482 "26"
